brand_id;product_id;brand;product_name;format;serving_size_g;serving_count;volume_g;price_usd;discount_pct;serving_price;key_ingredient;channel;url;date_collected;purchase_type
4;20;Four Sigmatic;Gut Health Coffee Pods (24ct);pods;;24;;18;50;0.75;;own_site;https://us.foursigmatic.com/products/gut-health-coffee-pods;20.05.2026;subscription
4;20;Four Sigmatic;Gut Health Coffee Pods (24ct);pods;;48;;36;50;0.75;;own_site;https://us.foursigmatic.com/products/gut-health-coffee-pods;20.05.2026;subscription
4;20;Four Sigmatic;Gut Health Coffee Pods (24ct);pods;;96;;72;50;0.75;;own_site;https://us.foursigmatic.com/products/gut-health-coffee-pods;20.05.2026;subscription
4;20;Four Sigmatic;Gut Health Coffee Pods (24ct);pods;;24;;28.8;20;1.2;;own_site;https://us.foursigmatic.com/products/gut-health-coffee-pods;20.05.2026;single
4;20;Four Sigmatic;Gut Health Coffee Pods (24ct);pods;;48;;57.6;20;1.2;;own_site;https://us.foursigmatic.com/products/gut-health-coffee-pods;20.05.2026;single
4;20;Four Sigmatic;Gut Health Coffee Pods (24ct);pods;;96;;115.2;20;1.2;;own_site;https://us.foursigmatic.com/products/gut-health-coffee-pods;20.05.2026;single
4;20;Four Sigmatic;Gut Health Coffee Pods (24ct);pods;;24;265.4;33.99;0;1.4163;chaga;amazon;https://www.amazon.com/dp/B08L3ZMZF4;25.05.2026;single
4;20;Four Sigmatic;Gut Health Coffee Pods (24ct);pods;;24;265.4;32.29;5;1.3454;chaga;amazon;https://www.amazon.com/dp/B08L3ZMZF4;25.05.2026;subscription
4;21;Four Sigmatic;Focus Decaf Coffee Pods (24ct);pods;;24;;18;50;0.75;;own_site;https://us.foursigmatic.com/products/focus-decaf-coffee-pods;20.05.2026;subscription
4;21;Four Sigmatic;Focus Decaf Coffee Pods (24ct);pods;;48;;36;50;0.75;;own_site;https://us.foursigmatic.com/products/focus-decaf-coffee-pods;20.05.2026;subscription
4;21;Four Sigmatic;Focus Decaf Coffee Pods (24ct);pods;;96;;72;50;0.75;;own_site;https://us.foursigmatic.com/products/focus-decaf-coffee-pods;20.05.2026;subscription
4;21;Four Sigmatic;Focus Decaf Coffee Pods (24ct);pods;;24;;28.8;20;1.2;;own_site;https://us.foursigmatic.com/products/focus-decaf-coffee-pods;20.05.2026;single
4;21;Four Sigmatic;Focus Decaf Coffee Pods (24ct);pods;;48;;57.6;20;1.2;;own_site;https://us.foursigmatic.com/products/focus-decaf-coffee-pods;20.05.2026;single
4;21;Four Sigmatic;Focus Decaf Coffee Pods (24ct);pods;;96;;115.2;20;1.2;;own_site;https://us.foursigmatic.com/products/focus-decaf-coffee-pods;20.05.2026;single
4;21;Four Sigmatic;Focus Decaf Coffee Pods (24ct);pods;;24;308.4;36;0;1.5;lion's mane;amazon;https://www.amazon.com/dp/B0BXZ3JMMN;25.05.2026;single
4;21;Four Sigmatic;Focus Decaf Coffee Pods (24ct);pods;;24;308.4;34.2;5;1.425;lion's mane;amazon;https://www.amazon.com/dp/B0BXZ3JMMN;25.05.2026;subscription
4;22;Four Sigmatic;Focus Dark Roast Expresso Pods (10ct);pods;;10;;7.5;50;0.75;;own_site;https://us.foursigmatic.com/products/focus-dark-roast-espresso-pods-10ct;20.05.2026;subscription
4;22;Four Sigmatic;Focus Dark Roast Expresso Pods (10ct);pods;;20;;15;50;0.75;;own_site;https://us.foursigmatic.com/products/focus-dark-roast-espresso-pods-10ct;20.05.2026;subscription
4;22;Four Sigmatic;Focus Dark Roast Expresso Pods (10ct);pods;;40;;30;50;0.75;;own_site;https://us.foursigmatic.com/products/focus-dark-roast-espresso-pods-10ct;20.05.2026;subscription
4;22;Four Sigmatic;Focus Dark Roast Expresso Pods (10ct);pods;;10;;12;20;1.2;;own_site;https://us.foursigmatic.com/products/focus-dark-roast-espresso-pods-10ct;20.05.2026;single
4;22;Four Sigmatic;Focus Dark Roast Expresso Pods (10ct);pods;;20;;24;20;1.2;;own_site;https://us.foursigmatic.com/products/focus-dark-roast-espresso-pods-10ct;20.05.2026;single
4;22;Four Sigmatic;Focus Dark Roast Expresso Pods (10ct);pods;;40;;48;20;1.2;;own_site;https://us.foursigmatic.com/products/focus-dark-roast-espresso-pods-10ct;20.05.2026;single
4;22;Four Sigmatic;Focus Dark Roast Expresso Pods (10ct);pods;;10;110.6;14.99;25;1.499;lion's mane;amazon;https://www.amazon.com/dp/B0DN7WWV6C;25.05.2026;single
4;22;Four Sigmatic;Focus Dark Roast Expresso Pods (10ct);pods;;10;328.9;31.08;0;3.108;lion's mane;amazon;https://www.amazon.com/dp/B0GVW61PW1;25.05.2026;single
4;22;Four Sigmatic;Focus Dark Roast Expresso Pods (10ct);pods;;10;328.9;29.53;3;2.953;lion's mane;amazon;https://www.amazon.com/dp/B0GVW61PW1;25.05.2026;subscription
4;22;Four Sigmatic;Focus Dark Roast Expresso Pods (10ct);pods;;10;164.4;13.62;0;1.362;lion's mane;amazon;https://www.amazon.com/dp/B0C386SD6D;25.05.2026;single
