brand;product_name;format;serving_size_g;serving_count;volume_g;price_usd;discount_pct;serving_price;key_ingredient;channel;url;date_collected;purchase_type;status
La Republica;La Republica Reishi Mushroom Powder (120 Servings), No Mycelium or Fillers, USDA Organic Reishi Extract, Fair Trade & Vegan, USA Made;instant;;120;60.1;79.95;0;0.6663;reishi;amazon;https://www.amazon.com/dp/B07YXGGMQC;25.05.2026;single;-
La Republica;La Republica Turkey Tail Mushroom Powder (120 Servings), Immune Support, USDA Organic Turkey Tail Extract, Fair Trade & Vegan, No Mycelium or Fillers, USA Made;instant;;120;60.1;29.95;0;0.2496;mushroom blend;amazon;https://www.amazon.com/dp/B08YP9C3LS;25.05.2026;single;-
La Republica;La Republica Superfood Super 7 Mushroom Extract Powder 8oz, Includes Lion's Mane, Reishi, Chaga, Cordyceps, Shitake, Maitake and Turkey Tail;instant;;114;226.8;29.97;0;0.2629;lion's mane;amazon;https://www.amazon.com/dp/B09JZVM8WG;25.05.2026;single;-
La Republica;La Republica Superfoods USDA Organic Super 7 Mushroom Powder 3oz, Lion's Mane, Chaga, Reishi, Cordyceps, MAitake, Turkey Tail, No Fillers (3oz);instant;;120;85;19.98;0;0.1665;lion's mane;amazon;https://www.amazon.com/dp/B09K4MDJRC;25.05.2026;single;-
Laird Superfood;Laird Superfood Organic Performance Mushroom Blend with Chaga, Cordyceps, Lion's Mane and Maitake for Energy and Cognition, 3.17 oz. Bag, Pack of 1;instant;;40;99.2;25;0;0.625;lion's mane;amazon;https://www.amazon.com/dp/B07FK3CQJR;25.05.2026;single;-
Laird Superfood;Laird Superfood Organic Performance Mushroom Blend with Chaga, Cordyceps, Lion's Mane and Maitake for Energy and Cognition, 3.17 oz. Bag, Pack of 1;instant;;40;99.2;23.75;5;0.5938;lion's mane;amazon;https://www.amazon.com/dp/B07FK3CQJR;25.05.2026;subscription;-
Laird Superfood;Laird Superfood Prebiotic Daily Greens Powder – Essential Vitamins & Minerals - Prebiotic Fiber, Adaptogen and Fruits & Vegetables – Supports Gut Health – Non-GMO, Vegan - 7.4 oz Bag, Pack of 1;instant;;30;209.8;37.99;0;1.2663;adaptogen;amazon;https://www.amazon.com/dp/B0FBTBVNC8;25.05.2026;single;-
Laird Superfood;Laird Superfood Sleep & Recover, Bedtime Powdered Drink Mix Calming Supplement to Support Relaxation and Sleep with Tart Cherry and Chamomile, 0.3 Oz Packet, Pack of 10;packet;;14;65.2;22;0;1.5714;;amazon;https://www.amazon.com/dp/B0CBST7Z4P;25.05.2026;single;-
Laird Superfood;Laird Superfood Sleep & Recover, Bedtime Powdered Drink Mix Calming Supplement to Support Relaxation and Sleep with Tart Cherry and Chamomile, 0.3 Oz Packet, Pack of 10;packet;;14;65.2;20.9;5;1.4929;;amazon;https://www.amazon.com/dp/B0CBST7Z4P;25.05.2026;subscription;-
Laird Superfood;Laird Superfood Organic Performance Mushroom Blend, Non Dairy, Gluten Free, 3.17 Ounce (Pack of 3);instant;;30;269.6;59.75;0;1.9917;mushroom blend;amazon;https://www.amazon.com/dp/B0BFQ7KMTG;25.05.2026;single;-
Laird Superfood;Organic Morning Jumpstart;instant;;45;76.5;22;0;0.4889;;amazon;https://www.amazon.com/dp/B07LHH1MD2;25.05.2026;single;-
Laird Superfood;Laird Superfood Organic Performance Mushroom Blend with Chaga, Cordyceps, Lion's Mane and Maitake for Energy and Cognition, 3.17 oz. Bag, Pack of 2;instant;;60;179.7;25;0;0.4167;lion's mane;amazon;https://www.amazon.com/dp/B09TQ4S7DF;25.05.2026;single;-
Laird Superfood;Laird Superfood Prebiotic Daily Greens Powder – Essential Vitamins & Minerals - Prebiotic Fiber, Adaptogen and Fruits & Vegetables – Supports Gut Health – Non-GMO, Vegan - 14.8 oz Bag, Pack of 1;instant;;30;419.6;49.44;0;1.648;adaptogen;amazon;https://www.amazon.com/dp/B0C445KMNH;25.05.2026;single;-
